Organisation - Website,Instagram Link
10thstreetdistillery.com,instagram.com/10thstreetdistillery
10thwhiskey.com,instagram.com/10thmtnwhiskey
1792bourbon.com,No Instagram URLs found for https://www.1792bourbon.com
18thstreetdistillery.com,Error fetching https://www.18thstreetdistillery.com: Status code 404
2barspirits.com,instagram.com/2barspirits
2gingerswhiskey.com,No Instagram URLs found for https://www.2gingerswhiskey.com
34northbar.com,instagram.com/34northbar
3howls.com,Error fetching https://www.3howls.com: Status code 404
3hundreddays.com,instagram.com/3hundreddaysofshine
45thspirits.com,"Error processing https://www.45thspirits.com : HTTPSConnectionPool(host='www.45thspirits.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001E93A850430>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
503distilling.com,instagram.com/503distilling
8ballwhiskey.com,No Instagram URLs found for https://www.8ballwhiskey.com
8secondswhisky.com,instagram.com/8secondswhisky
aberlour.com,No Instagram URLs found for https://www.aberlour.com
abreojostequila.com,instagram.com/abreojostequila
acredistilling.com,instagram.com/acredistilling
adelphidistillery.com,instagram.com/ardnamurchandistillery
admin@winevision.kr,instagram.com/winevision
adrattray.com,instagram.com/adrattray
